Player,PlayerID,OldPP,WeightedUP,AverageDelta,AverageFactor
etn,4581069,16778.952241601364,16645.174124091605,-11.72632749019889,0.26102673239976776
Jorlando,12052880,16055.014454825441,16632.31368488463,9.98823500443791,0.16790980295470276
bob man,20263707,17070.62244340659,16625.55280454525,-13.927307124710993,0.25910211396119576
big snag,8181420,15207.952568570816,16600.081007477842,42.37862690175976,0.0052599400313842045
Chipori,7027766,16490.624000178683,16599.419100506148,-0.611820508826628,0.13334704750480106
yukarimybeloved,13286326,17489.685647034257,16594.555063842523,-22.933834013766237,0.45746467139336067
zoomiee,12482926,16980.756141944126,16594.14543646622,-20.15627041588187,0.37784336528395424
Willy William,19776980,17453.951222712305,16587.63951801886,-11.234359239890042,0.27414277885197813
arekk,16085078,16370.514858550954,16577.52982640406,-5.931475300089964,0.2874370117121626
CyberOni,16616677,16261.38390064681,16561.13965884314,-3.5937698160452167,0.20819583684562745
queue,4787223,16220.66917816744,16541.474661487817,3.2826148031206617,0.1681698140954663
matcha,7613309,17048.379893051744,16517.299131086453,-7.869863136380576,0.25413525883192906
FlasTEH,8443945,16955.481668437485,16508.303673274157,-9.361994060406204,0.19865019037953938
Dempsey,6788821,17085.996748414433,16498.36836451912,-18.973004466985333,0.3950523218963585
A]],4959454,16745.884715946748,16491.111755200956,-3.533286372790228,0.3408244040198511
jop,6360447,16972.24492338143,16486.85055973745,-19.568754190147615,0.4366101890630102
-IZZY,15225729,16643.899413980784,16483.726613474653,-12.807471396388541,0.2526412543541347
anmear,25927812,17026.079188072792,16482.41001302709,-9.778389834572755,0.22896847786208233
BlancPur,2768421,15562.115199643373,16470.366508274525,23.04274976459213,0.1164497932933981
strived,11243772,16685.900056152183,16463.58195448276,-14.246259992407095,0.39397542227999066
Akuma no Tenshi,21811804,16800.894411999703,16460.34773765514,-16.010460578661135,0.3474194013430122
MightyDoc,9067591,14887.359236667415,16450.36309055713,44.40227236239388,0.04967789141277474
Teacchyyy,7178423,15890.510332937947,16448.04208489629,10.136004678440147,-0.026275006563930735
Trail Mix,3328742,15293.291623267203,16444.82819701376,26.569824567000214,0.029871483875577406
Ethan2222,14249222,16497.27955175329,16439.766241684058,-7.671588489307911,0.17367672373460763
alfiu,17724014,16372.135636100847,16433.53519116989,-2.4626318739627995,0.16992847563798866
Reedkatt,8335950,16140.924616276016,16432.0128049274,7.090981088726969,0.018273821549386303
hearts,13006426,16230.657917560944,16429.790712337046,-1.0424416830830023,0.2522922312868739
bsm,12366071,16407.260239782972,16428.812643213634,-1.4172843548072591,0.08430914759600334
Tutel,12241010,16305.067589934035,16420.2740803974,-2.598582259851704,0.22257040936151923
me slow,11410238,16720.929561857967,16408.421867372384,-2.576576536594524,0.11421300136437196
Arge,11215030,16762.37011547874,16402.95584722632,-3.332809033001388,0.19505562643428692
Fobxx,9747255,16801.683753156936,16386.50356040337,-16.740054218524293,0.39501841660604486
Snowy LP,8975836,16062.48275730207,16385.478565774396,2.0605437799069604,0.13988952904270488
Ledeau_Fox,15816872,16636.76343608049,16383.716321236323,-14.425901132049752,0.307827489225138
monte,10077132,16738.280338422235,16378.782328604353,-13.461516807918851,0.31887121054186013
fragranceofpage,11399348,15549.772724181597,16371.824951460902,20.23127879148854,0.0539359953160642
nekore,18946207,16270.698614226016,16360.972241124395,10.608055296384624,0.03847557301207624
k4rnu1,15537476,17072.12277710263,16355.194973186115,-17.88785959191242,0.3371563535032907
Jorikawa,11663882,15663.459079214876,16330.696383818919,15.740748170524139,0.21740918451044408
Hakui Koyori,10717635,16006.159567715107,16326.786617586216,7.5322434971522565,0.027247949890940162
nicebroccoli,8696866,16329.833840799432,16324.899216665763,0.18798596294945583,0.12269788544583168
blobnom,15843402,15571.589430480462,16321.582839347111,20.88378746623596,0.09716158870383321
Tim Kackner,14385814,16340.252247891243,16319.863483928937,0.7204557668673408,0.037834535028474364
Demonical,5447609,16289.717956139273,16308.081227348552,2.391793011916251,0.09477961315162674
-Din-,7972980,15869.883466769637,16304.005908546666,6.398287457077718,0.12872250524492734
cxyd_n,12699987,16978.041835297307,16287.330043913833,-18.700333907229915,0.4286188518170891
azr8,2562987,15661.922723612386,16283.441061417952,22.74608890675656,-0.003562144724715914
LordGabriel,9227895,16881.129357012815,16278.257849489886,-11.467815555423005,0.26895270857397835
nejzha,8105138,16637.43037985414,16277.87952283031,-4.183776223672522,0.13879683734200984
marzey,11584669,16885.532982535213,16277.149687695597,-17.170896331740902,0.41375342203858945
Sodor,7784120,16977.918183596452,16265.295526621445,-23.21838286372929,0.4220275326273306
nicki1324,612898,16444.04322731782,16254.609458382729,-2.906124048400287,0.09573591748488733
Skrowell,9694263,16131.007525582449,16244.61066724303,-5.188672191317786,0.15710077143583287
idke,4650315,15527.067072270193,16244.34463808037,32.64892176225489,-0.07929775950951816
Vamhi,6123428,15909.951829986065,16242.536534443789,15.294040802245346,-0.17170790434637315
jixxi,11652827,15554.174371121442,16232.179198244212,25.839104019720367,-0.006627632456163013
fedotoff,7351448,16522.31401214715,16231.290381281377,-17.139274640284178,0.47901546566023306
Tsuwagi,9313951,15855.196400121213,16214.894310611502,12.715376609456404,-0.006648932653992581
RAMTIN,7216681,16274.9188750524,16214.817695327309,1.2334741272594796,0.17845666972540608
freed0my,9099771,16692.595465047736,16209.036266740843,-15.021710612686443,0.27932186132542236
Cracento,6619303,16065.27201830492,16205.367078723119,4.545051312075865,-0.007019952776420028
dench,10073635,15912.337819251947,16204.135841185971,1.336755282006252,0.05222609321704017
doctor mojo,13872859,16659.660974785038,16200.447655366026,-10.861918304906768,0.2014625671937123
sharytory,16139008,15235.67106160217,16196.842882600808,31.51979070484658,0.016467543487710838
Coreanmaluco,3149577,15219.269721549272,16190.433717153417,16.007219295315807,0.07619033301279152
Xiel,13266755,15832.239422878156,16187.03036921531,12.682593221039461,0.005011987652459585
1v9,6646269,16296.536665273392,16185.542235136814,-13.096593296763476,0.33205067309327807
shiromisu,19618102,16679.509441226262,16166.664794820408,-14.50331285455818,0.3195195389036003
Cellinia,13214651,16220.480399404067,16153.49043929777,-3.568121289181447,0.20477338802355266
GodRoPoNiKa,11195861,16137.657202041533,16139.842615001493,8.95589967895727,0.16614375918578378
status,21435330,15637.764988562833,16138.39977067732,11.726125130084263,0.018104911854065927
Doomsday fanboy,4511522,15769.555667697274,16137.833082328038,8.416522781333654,0.1098012653373332
maxim,9459674,15838.081742424913,16128.478889026423,-0.03704290584675505,0.23172485398509668
815,13618032,16078.840960995432,16125.449938619697,-0.3319496642204331,0.2054838513557998
wooting,14897088,16911.19458926019,16121.29868047277,-11.045604808629449,0.29184230022611446
-L U C K Y-,11875189,16717.068505176812,16118.370822487032,-10.484411453152402,0.22176420945983696
C-L,8901306,16634.716026455866,16117.61734153227,-13.668232585320522,0.2963522081742366
Sh4rq_,11684622,16193.736175991775,16110.712216701668,-9.787030965893448,0.264673490759659
Vayge,16359045,16212.4000517796,16103.632740241888,-1.41470731432437,0.11797785981267733
Abyssal,5527745,16385.80498577515,16086.646911265982,-13.004802784259411,0.30862369877554446
iryl,13016277,16350.352571613863,16081.559790073345,-4.359979211015615,0.13625457190312582
