BeatmapID,TotalWeightedPP,AppearanceCount,Placements,Title,DifficultyName
4889080,7003.5158,14,"13,16,8,7,76,1,11,100,92,25,2,52,8,1",Shuumatsu no Mythologia,Expert
550235,3573.2883,16,"15,70,47,92,31,69,66,10,38,33,54,37,18,2,93,18",United (L.A.O.S Remix),Infinity
767203,1692.7834,5,"17,13,21,36,41",Kuuchuu ni Shizumu Kishinjou ~ Counter-Clock World,Extra Stage
2902017,17493.8958,63,"18,57,26,57,34,16,49,8,80,73,46,33,52,16,13,89,35,33,4,73,28,34,18,15,15,65,10,8,79,32,29,1,32,73,3,9,47,69,3,29,51,97,42,68,10,40,70,28,23,19,62,4,5,2,54,97,33,94,82,21,16,6,47",DROPOUT!?,Kowari's Extra
3217085,3588.6202,15,"19,35,21,66,11,63,27,21,35,12,40,57,14,76,92",Hatsukoi no Ehon feat. Aida Miou (CV: Toyosaki Aki),Extra
4571942,3727.9684,11,"20,22,46,15,11,78,14,35,78,3,34",Get Your Wish (Sewerslvt Remix),evth's extra
1228616,4181.2561,24,"25,71,86,34,98,87,96,92,79,59,41,4,4,78,71,60,21,14,72,6,95,66,14,65",Huan Xiang Xiang Di Yi Tao Guang Bo Ti Cao,Sway!!
718679,8233.8449,29,"26,8,71,41,50,54,19,62,15,25,26,75,8,9,46,13,75,60,2,31,11,3,36,47,82,60,42,6,39",Mynarco Addiction,Ex
4943353,5827.3359,24,"28,46,23,56,22,27,31,10,22,27,35,31,80,72,24,36,29,4,47,9,33,15,25,62",Sidetracked Day (Short Ver.),Extreme
5225963,13830.2796,45,"30,50,11,68,32,32,10,21,9,7,1,22,82,7,35,20,30,5,70,13,14,10,63,62,3,16,87,5,18,25,86,77,37,1,3,39,16,85,70,96,80,56,99,58,13",Power of the Dragonflame,Roupus' Extra
966576,332.1558,2,"31,40",Yakimochi no Kotae -another story-,Jealousy
5426129,3750.5255,26,"33,97,26,88,41,21,71,33,83,15,13,47,46,62,30,6,60,67,37,58,57,59,44,99,69,46",Pacific girls,jumpstream
5301282,840.0484,4,"39,12,45,44",Halcyon (Long Ver.),Extra
4170444,3964.5631,16,"40,33,29,51,12,58,23,28,43,30,9,99,18,15,90,5",To The Terminus,Extra
2663986,25445.5846,109,"41,65,43,55,31,29,45,40,45,99,38,44,99,17,18,15,41,53,87,37,23,22,36,40,59,46,16,2,31,11,23,20,27,5,100,39,17,14,100,32,10,59,4,78,89,8,29,5,8,13,11,50,29,98,56,9,75,84,23,86,7,99,14,39,13,39,46,20,54,95,28,32,3,64,45,3,12,19,39,5,31,72,52,66,9,7,24,92,65,54,14,27,52,74,97,59,22,90,36,13,14,76,18,98,98,2,88,12,48",Prima Stella,Caged
831443,148.2159,2,"43,71",Escape With The Clouds,No Escape
658994,3432.8417,15,"44,96,49,76,91,3,87,14,55,45,25,80,10,13,12",perthed again (yambabom remix),ktgster's Extra
1506912,109.0724,1,45,Fortuna Redux,Extreme
687303,7905.8066,43,"49,58,23,10,20,8,44,54,82,22,85,44,29,57,7,54,47,75,61,31,21,97,50,29,48,25,45,42,4,8,42,51,71,45,23,32,31,35,67,21,36,37,28",Epiphany (feat. Veela),Revelation
5752621,9517.835,28,"51,49,64,23,17,6,18,3,31,27,5,84,82,63,5,26,3,33,2,40,56,59,38,19,10,5,20,6",Valley Of The Vale,shoyeu's Expert
4447996,6959.4934,31,"53,40,53,33,86,64,29,48,40,28,11,93,15,7,83,64,10,20,48,4,32,41,58,12,35,7,18,13,52,70,44",slishkom pozdno,extra
5036420,2775.5796,15,"57,32,16,75,81,23,43,54,82,7,29,74,21,21,20",CYBER INDUCTANCE,EXTRA
5812272,2047.984,7,"58,28,20,88,2,59,14",snow storm -euphoria-,shoyeu's vivid
4758850,19806.1461,66,"59,43,65,81,10,20,31,56,50,62,55,9,78,85,14,61,48,4,20,19,17,19,45,5,1,86,3,51,58,33,72,2,22,4,10,18,4,44,32,66,71,2,92,8,54,34,12,36,40,30,4,69,12,3,96,11,81,76,61,88,15,73,19,2,15,31",Sentou! Champion Iris,Dragon Queen
809469,2703.0811,12,"60,14,95,23,24,50,45,36,64,5,28,22",Waldschrein,Mein Land
5462590,1170.8937,5,"63,33,10,53,22",Cosmic Dewdrops,Expert
191805,63.0503,3,"65,83,78",Chikyuu Saigo no Kokuhaku o,Collab
5682373,4287.5275,17,"67,51,53,18,19,35,42,56,13,11,9,37,13,19,25,37,34",Heartless (Cut Ver.),Zabrid's Expert
827803,6519.9401,49,"68,12,65,63,30,36,47,35,100,31,71,95,44,89,72,60,50,53,18,44,73,13,88,73,29,32,47,34,24,75,19,66,6,33,29,90,70,29,47,66,42,12,87,47,37,55,51,65,14",SANTA SAN,X-Mas
811127,333.6139,3,"69,23,71",Shoujo Satori ~ Innumerable Eyes,Extra
2060211,1578.099,13,"72,69,67,79,53,13,52,8,66,53,32,85,97",Light Delight,The One I'd like to Be Beside.
1506561,34.1263,2,"75,84",High Free Spirits (nenpulse bootleg remix),Horizon~
5553693,1079.9985,4,"76,97,16,8",Ai no Shoumei,Collab Affection
4859467,7037.4092,34,"78,66,87,27,68,45,11,63,3,74,5,54,53,94,29,82,70,22,50,67,70,25,36,6,1,26,71,36,97,13,16,37,28,25",Hold Up Your Hearts (Again),Uri's Extra (feat. Maki)
5635263,507.2792,9,"82,79,59,44,71,26,74,78,46",Fallen Angel (el poco maro Remix),Recidivist
4724034,29933.3983,113,"84,99,65,46,70,45,47,78,61,38,64,31,35,15,39,38,30,58,21,45,61,38,61,24,4,10,14,6,16,15,31,63,54,21,67,45,14,14,79,14,47,69,9,12,92,24,9,75,18,25,5,19,18,26,25,57,1,36,30,59,9,52,25,77,44,75,35,9,12,30,4,77,21,72,63,12,27,22,7,31,31,33,98,45,52,43,12,98,1,57,6,28,2,65,5,28,3,33,16,10,30,7,9,41,54,27,18,4,2,91,73,30,2",Unwelcome School,Sotarks' Classroom Disorder
4833713,4631.0673,28,"85,59,73,76,36,70,27,18,18,95,58,24,93,82,56,14,65,19,14,36,19,32,57,56,1,42,47,87",on & on,on and on and on and on and on and on and on and on
5067244,81.2049,2,"86,47",Epitaph,Expert
3895710,815.0681,8,"88,66,22,49,59,30,29,90",MERRY MERRY MERRY MENU... ne!,Celebration
5691804,11532.5492,40,"92,77,43,34,28,30,90,23,23,18,10,65,10,33,7,100,28,4,8,33,89,85,31,13,28,48,1,6,15,80,5,23,67,9,1,23,27,17,25,54",stresstest,towerofheaven's extra
985875,55.809,4,"93,70,81,85",Ring My Bell,Ring Ring Ring
1686476,2006.515,15,"94,33,18,28,46,86,76,28,64,39,59,28,23,72,22",Paranoid Lost,Dream of Autumn Colors
1808741,1288.2099,9,"95,93,83,78,36,2,75,30,49",Itazura Fiction,Chaos
2068783,7.3232,1,96,"Papa, Ne Pey!",Dendy's Special
888015,2082.6623,14,"99,62,68,79,44,15,31,10,64,11,41,94,56,59",If You Can't Hang,Fort's Extreme
